Directory,Project,Notes
MiSeq_M795,Miles Parkes RC2 IBD virome,"database_ID: 35450, 35451, 35452, 35453, 35454, 35443, 35444, 35445, 35446, 35447, 35448, 35449"
MiSeq_M796,Miles Parkes RC2 IBD virome,"database_ID: 35455, 35456, 35457, 35458, 35460, 35461, 35462, 35463, 35464, 35465, 35466"
MiSeq_M797,Miles Parkes RC2 IBD virome,"database_ID: 35467, 35468, 35469, 35470, 35472, 35473, 35474, 35475, 35476, 35477, 35478"
MiSeq_M798,Miles Parkes RC2 IBD virome,"database_ID: 35479, 35480, 35481, 35482, 35483, 35484, 35485, 35486, 35487, 35488, 35489, 35490"
MiSeq_M799,Miles Parkes RC2 IBD virome,"database_ID: 35491, 35492, 35493, 35494, 35495, 35496, 35497, 35498, 35499, 35500, 35501, 35502"
MiSeq_M802,Miles Parkes RC2 IBD virome,"database_ID: 35529, 35531, 35532, 35533, 35534, 35535, 35536, 35537, 35538, 35539, 35540"
MiSeq_M803,Miles Parkes RC2 IBD virome,"database_ID: 35541, 35542, 35543, 35544, 35545, 35546, 35547, 35548, 35550, 35551, 35552"
MiSeq_M804,Miles Parkes RC2 IBD virome,"database_ID: 35553, 35554, 35555, 35556, 35557, 35558, 35559, 35560, 35561, 35562, 35563, 35564"
MiSeq_M805,Miles Parkes RC2 IBD virome,"database_ID: 35565, 35566, 35567, 35568, 35569, 35570, 35571, 35572, 35573, 35574, 35575, 35576"
MiSeq_M806,Miles Parkes RC2 IBD virome,"database_ID: 35577, 35578, 35579, 35580, 35581, 35582, 35584, 35585, 35586, 35587, 35588"
MiSeq_M807,Miles Parkes RC2 IBD virome,"database_ID: 35589, 35590, 35591, 35592, 35593, 35594, 35595, 35596, 35597, 35598, 35599, 35600"
MiSeq_M808,Miles Parkes RC2 IBD virome,"database_ID: 35601, 35602, 35603, 35604, 35605, 35606, 35607, 35608, 35609, 35610, 35611, 35612"
MiSeq_M809,Miles Parkes RC2 IBD virome,"database_ID: 35613, 35614, 35615, 35616, 35617, 35618, 35619, 35620, 35621, 35622, 35623, 35624"
MiSeq_M811,Hecatomb_quantification,
N812_TruSeqNano,Wang viral culture,
MiSeq_M814,Krishna_wgs from Nepal,CSF
MiSeq_M816,Krishna_wgs from Nepal,CSF
MiSeq_M817,Krishna_wgs from Nepal,CSF + serum
MiSeq_M819,Krishna_wgs from Nepal,serum
MiSeq_M822,Krishna_wgs from Nepal,serum + nasopharyngeal swab
MiSeq_M823,Krishna_wgs from Nepal,serum + nasopharyngeal swab
NextSeq_827,Anca 52 bacterial isolates,52 isolates
MiSeq_M828,Miles Parkes RC2 IBD virome_deepseq,"deepseq Picorinavirus; database_ID: 7605, 18941, 18949, 18985, 19022, 19034"
MiSeq_M830_16S,Miles Parkes RC2 IBD 16S,"database_ID: 38036, 38037, 38038, 38039, 38040, 38041, 38042, 38043, 38044, 38045, 38046, 38047, 38048, 38049, 38050, 38051, 38052, 38053, 38054, 38055, 38056, 38057, 38058, 38059, 38060, 38061, 38062, 38063, 38064, 38065, 38066, 38067, 38068, 38069, 38070, 38071, 38072, 38073, 38074, 38075, 38076, 38077, 38078, 38079, 38080, 38081, 38082, 38083, 38084, 38085, 38086, 38087, 38088, 38089, 38090, 38091, 38092, 38093, 38094, 38095, 38096, 38097, 38098, 38099, 38100, 38101, 38102, 38103, 38104, 38105, 38106, 38107, 38108, 38109, 38110, 38111, 38112, 38113, 38114, 38115, 38116, 38117, 38118, 38119, 38120, 38121, 38122, 38123, 38124, 38125, 38126, 38127, 38128, 38129, 38130, 38131, 38132, 38133, 38134, 38135, 38136, 38137, 38138, 38139, 38140, 38141, 38142, 38143, 38144, 38145, 38146, 38147, 38148, 38149, 38150, 38151, 38152, 38153, 38154, 38155, 38156, 38157, 38158, 38159, 38160, 38161, 38162, 38163, 38164, 38165, 38166, 38167, 38168, 38169, 38170, 38171, 38172, 38173, 38174, 38175, 38176, 38177, 38178, 38179, 38180, 38181, 38182, 38183, 38184, 38185, 38186, 38187, 38188, 38189, 38190, 38191, 38192, 38193, 38194, 38195, 38196, 38197, 38198, 38199, 38200, 38201, 38202, 38203, 38204, 38205, 38206, 38207, 38208, 38209, 38210, 38211"
MiSeq_M831,Miles Parkes RC2 IBD virome,"database_ID: 35625, 35626, 35627, 35628, 35629, 35630, 35631, 35632, 35633, 35634, 35635, 35636"
MiSeq_M832,Miles Parkes RC2 IBD virome,"database_ID: 35637, 35638, 35639, 35640, 35641, 35642, 35643, 35644, 35645, 35646, 35647, 35648"
MiSeq_M833,Miles Parkes RC2 IBD virome,"database_ID: 35649, 35650, 35651, 35652, 35653, 35654, 35655, 35656, 35657, 35658, 35659, 35661"
MiSeq_M834,Miles Parkes RC2 IBD virome,"database_ID: 35660, 35662, 35663, 35664, 35665, 35666, 35667, 35668, 35669, 35670, 35671, 35672"
MiSeq_M836,Miles Parkes RC2 IBD virome,"database_ID: 35673, 35674, 35675, 35676, 35677, 35678, 35679, 35680, 35681, 35682, 35683, 35684"
MiSeq_M837,Miles Parkes RC2 IBD virome,"database_ID: 35685, 35686, 35688, 35689, 35690, 35691, 35692, 35693, 35694, 35695, 35696"
MiSeq_M838,Miles Parkes RC2 IBD virome,"database_ID: 35697, 35698, 35700, 35701, 35702, 35703, 35704, 35706, 35707, 35708"
MiSeq_M839,Miles Parkes RC2 IBD virome,"database_ID: 35709, 35710, 35711, 35712, 35713, 35714, 35715, 35716, 35717, 35718, 35719, 35720"
MiSeq_M842,"Krishna CSF, serum","Nepal Reo_Genomo_Parvo_deep_sequencing; CSF; database_ID: 37931, 37933, 37936, 37940"
NextSeq_N847,Miles Parkes RC2 IBD tissue virome,"database_ID: 14781, 14787, 14792, 14801, 14805, 14809, 38212, 38214, 38215, 38216, 38218, 38221"
MiSeq_M855,Miles Parkes RC2 IBD virome,"database_ID: 38036, 38037, 38039, 38038, 38040, 38041, 38042, 38043, 38044, 38045, 38046, 38047"
MiSeq_M856,Miles Parkes RC2 IBD virome,"database_ID: 38048, 38049, 38050, 38051, 38052, 38053, 38054, 38055, 38056, 38057, 38058, 38059"
MiSeq_M857,Miles Parkes RC2 IBD virome,"database_ID: 38060, 38061, 38062, 38063, 38064, 38065, 38066, 38067, 38068, 38069, 38070, 38071"
MiSeq_M858,Miles Parkes RC2 IBD virome,"database_ID: 38072, 38073, 38074, 38075, 38076, 38077, 38078, 38079, 38080, 38081, 38082, 38083"
MiSeq_M862,Krishna CSF,Nepal Reo_deep_sequencing
MiSeq_M868,Miles Parkes RC2 IBD virome,"database_ID: 38086, 38087, 38088, 38089, 38090, 38091, 38092, 38093, 38094, 38095"
MiSeq_M869,Miles Parkes RC2 IBD virome,"database_ID: 38096, 38097, 38098, 38099, 38100, 38101, 38102, 38104, 38105, 38106, 38107"
MiSeq_M870,Miles Parkes RC2 IBD virome,"database_ID: 38109, 38110, 38111, 38112, 38113, 38114, 38115, 38116, 38117, 38118, 38119"
MiSeq_M871,Miles Parkes RC2 IBD virome,"database_ID: 38120, 38121, 38122, 38123, 38124, 38125, 38127, 38128, 38129"
MiSeq_M874,Miles Parkes RC2 IBD virome,"database_ID: 38130, 38131, 38132, 38133, 38134, 38135, 38136, 38137, 38138, 38139, 38140, 38141"
MiSeq_M875,Miles Parkes RC2 IBD virome,"database_ID: 38142, 38143, 38144, 38145, 38146, 38147, 38148, 38149, 38150, 38151, 38152, 38153"
MiSeq_M876,Miles Parkes RC2 IBD virome,"database_ID: 38154, 38155, 38156, 38157, 38158, 38159, 38160, 38161, 38162, 38163, 38164, 38165"
MiSeq_M877,Miles Parkes RC2 IBD virome,"database_ID: 38166, 38167, 38168, 38169, 38170, 38171, 38172, 38173, 38174, 38175, 38176, 38177"
MiSeq_M878_16S,Miles Parkes RC2 IBD 16S,"database_ID: 38036, 38038, 38039, 38040, 38041, 38042, 38043, 38044, 38045, 38046, 38047, 38048, 38049, 38050, 38051, 38052, 38053, 38054, 38055, 38056, 38057, 38058, 38059, 38060, 38061, 38062, 38063, 38064, 38065, 38066, 38067, 38068, 38069, 38070, 38071, 38072, 38073, 38074, 38075, 38076, 38077, 38078, 38079, 38080, 38081, 38082, 38083, 38084, 38085, 38086, 38087, 38088, 38089, 38090, 38091, 38092, 38093, 38094, 38095, 38096, 38097, 38098, 38099, 38100, 38101, 38102, 38103, 38104, 38105, 38106, 38107, 38108, 38109, 38110, 38111, 38112, 38113, 38114, 38115, 38116, 38117, 38118, 38119, 38120, 38121, 38122, 38123, 38124, 38125, 38126, 38127, 38128, 38129, 38130, 38131, 38132, 38133, 38134, 38135, 38136, 38137, 38138, 38139, 38140, 38141, 38142, 38143, 38144, 38145, 38146, 38147, 38148, 38149, 38150, 38151, 38152, 38153, 38154, 38155, 38156, 38157, 38158, 38159, 38160, 38161, 38162, 38163, 38164, 38165, 38166, 38167, 38168, 38169, 38170, 38171, 38172, 38173, 38174, 38175, 38176, 38177, 38178, 38179, 38180, 38181, 38182, 38183, 38184, 38185, 38186, 38187, 38188, 38189, 38190, 38191, 38192, 38193, 38194, 38195, 38196, 38197, 38198, 38199, 38200, 38201, 38202, 38203, 38204, 38205, 38206, 38207, 38208, 38209, 38210, 38211"
MiSeq_M881,Miles Parkes RC2 IBD virome,"database_ID: 38178, 38179, 38180, 38181, 38182, 38183, 38184, 38185, 38186, 38187, 38188, 38189"
MiSeq_M882,Miles Parkes RC2 IBD virome,"database_ID: 38190, 38191, 38192, 38193, 38194, 38195, 38196, 38197, 38198, 38199, 38200, 38201"
MiSeq_M883,Miles Parkes RC2 IBD virome,"database_ID: 38178, 38179, 38180, 38181, 38182, 38183, 38184, 38185, 38186, 38187, 38188, 38189"
2023_May_Krishna_Dengue_and_Covid,Krishna Dengue and COVID NGS,
